Date,Product_Name,State,Units_Sold,Stock_On_Hand,Selling_Price,Competitor_A_Price,Competitor_B_Price
2022-01-03,Cleanser,IL,19,178,25.0,35.0,18.0
2022-01-04,Sunscreen,CA,33,268,35.0,45.0,25.0
2022-01-04,Sunscreen,TX,26,276,35.0,45.0,25.0
2022-01-04,Sunscreen,NY,11,347,35.0,45.0,25.0
2022-01-04,Sunscreen,FL,35,241,35.0,45.0,25.0
2022-01-04,Sunscreen,IL,11,353,35.0,45.0,25.0
2022-01-04,Moisturizer,CA,28,181,50.0,60.0,35.0
2022-01-04,Moisturizer,TX,25,180,50.0,60.0,35.0
2022-01-04,Moisturizer,NY,49,91,50.0,60.0,35.0
2022-01-04,Moisturizer,FL,19,219,50.0,60.0,35.0
2022-01-04,Moisturizer,IL,48,377,50.0,60.0,35.0
2022-01-04,Toner,CA,13,141,30.0,40.0,20.0
2022-01-04,Toner,TX,11,152,30.0,40.0,20.0
2022-01-04,Toner,NY,14,137,30.0,40.0,20.0
2022-01-04,Toner,FL,11,155,30.0,40.0,20.0
2022-01-04,Toner,IL,13,137,30.0,40.0,20.0
2022-01-04,Face Serum,CA,8,105,75.0,90.0,55.0
2022-01-04,Face Serum,TX,9,111,75.0,90.0,55.0
2022-01-04,Face Serum,NY,12,95,75.0,90.0,55.0
2022-01-04,Face Serum,FL,8,116,75.0,90.0,55.0
2022-01-04,Face Serum,IL,10,103,75.0,90.0,55.0
2022-01-04,Cleanser,CA,16,173,25.0,35.0,18.0
2022-01-04,Cleanser,TX,20,153,25.0,35.0,18.0
2022-01-04,Cleanser,NY,15,168,25.0,35.0,18.0
2022-01-04,Cleanser,FL,15,180,25.0,35.0,18.0
2022-01-04,Cleanser,IL,25,153,25.0,35.0,18.0
2022-01-05,Sunscreen,CA,32,236,35.0,45.0,25.0
2022-01-05,Sunscreen,TX,23,253,35.0,45.0,25.0
2022-01-05,Sunscreen,NY,11,336,35.0,45.0,25.0
2022-01-05,Sunscreen,FL,32,209,35.0,45.0,25.0
2022-01-05,Sunscreen,IL,10,343,35.0,45.0,25.0
2022-01-05,Moisturizer,CA,28,153,50.0,60.0,35.0
2022-01-05,Moisturizer,TX,24,156,50.0,60.0,35.0
2022-01-05,Moisturizer,NY,46,345,50.0,60.0,35.0
2022-01-05,Moisturizer,FL,20,199,50.0,60.0,35.0
2022-01-05,Moisturizer,IL,51,326,50.0,60.0,35.0
2022-01-05,Toner,CA,12,129,30.0,40.0,20.0
2022-01-05,Toner,TX,11,141,30.0,40.0,20.0
2022-01-05,Toner,NY,16,121,30.0,40.0,20.0
2022-01-05,Toner,FL,10,145,30.0,40.0,20.0
2022-01-05,Toner,IL,15,122,30.0,40.0,20.0
2022-01-05,Face Serum,CA,10,95,75.0,90.0,55.0
2022-01-05,Face Serum,TX,9,102,75.0,90.0,55.0
2022-01-05,Face Serum,NY,14,81,75.0,90.0,55.0
2022-01-05,Face Serum,FL,8,108,75.0,90.0,55.0
2022-01-05,Face Serum,IL,12,91,75.0,90.0,55.0
2022-01-05,Cleanser,CA,20,153,25.0,35.0,18.0
2022-01-05,Cleanser,TX,24,129,25.0,35.0,18.0
2022-01-05,Cleanser,NY,18,150,25.0,35.0,18.0
2022-01-05,Cleanser,FL,18,162,25.0,35.0,18.0
2022-01-05,Cleanser,IL,22,131,25.0,35.0,18.0
2022-01-06,Sunscreen,CA,37,199,35.0,45.0,25.0
2022-01-06,Sunscreen,TX,35,218,35.0,45.0,25.0
2022-01-06,Sunscreen,NY,14,322,35.0,45.0,25.0
2022-01-06,Sunscreen,FL,37,172,35.0,45.0,25.0
2022-01-06,Sunscreen,IL,10,333,35.0,45.0,25.0
2022-01-06,Moisturizer,CA,33,120,50.0,60.0,35.0
2022-01-06,Moisturizer,TX,24,132,50.0,60.0,35.0
2022-01-06,Moisturizer,NY,51,294,50.0,60.0,35.0
2022-01-06,Moisturizer,FL,18,181,50.0,60.0,35.0
2022-01-06,Moisturizer,IL,58,268,50.0,60.0,35.0
2022-01-06,Toner,CA,13,116,30.0,40.0,20.0
2022-01-06,Toner,TX,12,129,30.0,40.0,20.0
2022-01-06,Toner,NY,14,107,30.0,40.0,20.0
2022-01-06,Toner,FL,10,135,30.0,40.0,20.0
2022-01-06,Toner,IL,15,107,30.0,40.0,20.0
2022-01-06,Face Serum,CA,13,82,75.0,90.0,55.0
2022-01-06,Face Serum,TX,10,92,75.0,90.0,55.0
2022-01-06,Face Serum,NY,16,65,75.0,90.0,55.0
2022-01-06,Face Serum,FL,11,97,75.0,90.0,55.0
2022-01-06,Face Serum,IL,10,81,75.0,90.0,55.0
2022-01-06,Cleanser,CA,18,135,25.0,35.0,18.0
2022-01-06,Cleanser,TX,19,110,25.0,35.0,18.0
2022-01-06,Cleanser,NY,23,127,25.0,35.0,18.0
2022-01-06,Cleanser,FL,21,141,25.0,35.0,18.0
2022-01-06,Cleanser,IL,22,109,25.0,35.0,18.0
2022-01-07,Sunscreen,CA,36,163,35.0,45.0,25.4
2022-01-07,Sunscreen,TX,32,186,35.0,45.0,25.4
2022-01-07,Sunscreen,NY,12,310,35.0,45.0,25.4
2022-01-07,Sunscreen,FL,40,132,35.0,45.0,25.4
2022-01-07,Sunscreen,IL,12,321,35.0,45.0,25.4
2022-01-07,Moisturizer,CA,30,90,50.0,60.0,34.31
2022-01-07,Moisturizer,TX,29,103,50.0,60.0,34.31
2022-01-07,Moisturizer,NY,44,250,50.0,60.0,34.31
2022-01-07,Moisturizer,FL,24,157,50.0,60.0,34.31
2022-01-07,Moisturizer,IL,65,203,50.0,60.0,34.31
2022-01-07,Toner,CA,13,103,30.0,40.0,19.78
2022-01-07,Toner,TX,14,115,30.0,40.0,19.78
2022-01-07,Toner,NY,19,88,30.0,40.0,19.78
2022-01-07,Toner,FL,10,125,30.0,40.0,19.78
2022-01-07,Toner,IL,17,90,30.0,40.0,19.78
2022-01-07,Face Serum,CA,13,69,75.0,90.0,55.35
2022-01-07,Face Serum,TX,9,83,75.0,90.0,55.35
2022-01-07,Face Serum,NY,15,50,75.0,90.0,55.35
2022-01-07,Face Serum,FL,8,89,75.0,90.0,55.35
2022-01-07,Face Serum,IL,10,71,75.0,90.0,55.35
2022-01-07,Cleanser,CA,19,116,25.0,35.0,17.82
2022-01-07,Cleanser,TX,24,86,25.0,35.0,17.82
2022-01-07,Cleanser,NY,22,105,25.0,35.0,17.82
2022-01-07,Cleanser,FL,21,120,25.0,35.0,17.82
2022-01-07,Cleanser,IL,25,84,25.0,35.0,17.82
2022-01-08,Sunscreen,CA,48,115,35.0,45.0,25.0
2022-01-08,Sunscreen,TX,36,150,35.0,45.0,25.0
2022-01-08,Sunscreen,NY,20,290,35.0,45.0,25.0
2022-01-08,Sunscreen,FL,49,483,35.0,45.0,25.0
2022-01-08,Sunscreen,IL,12,309,35.0,45.0,25.0
2022-01-08,Moisturizer,CA,34,356,50.0,60.0,35.0
2022-01-08,Moisturizer,TX,35,368,50.0,60.0,35.0
2022-01-08,Moisturizer,NY,58,192,50.0,60.0,35.0
2022-01-08,Moisturizer,FL,27,130,50.0,60.0,35.0
2022-01-08,Moisturizer,IL,71,132,50.0,60.0,35.0
2022-01-08,Toner,CA,17,86,30.0,40.0,20.0
2022-01-08,Toner,TX,14,101,30.0,40.0,20.0
2022-01-08,Toner,NY,17,71,30.0,40.0,20.0
2022-01-08,Toner,FL,13,112,30.0,40.0,20.0
2022-01-08,Toner,IL,20,70,30.0,40.0,20.0
2022-01-08,Face Serum,CA,15,54,75.0,90.0,55.0
2022-01-08,Face Serum,TX,11,72,75.0,90.0,55.0
2022-01-08,Face Serum,NY,17,183,75.0,90.0,55.0
2022-01-08,Face Serum,FL,12,77,75.0,90.0,55.0
2022-01-08,Face Serum,IL,12,59,75.0,90.0,55.0
2022-01-08,Cleanser,CA,23,93,25.0,35.0,18.0
2022-01-08,Cleanser,TX,28,308,25.0,35.0,18.0
2022-01-08,Cleanser,NY,22,83,25.0,35.0,18.0
2022-01-08,Cleanser,FL,24,96,25.0,35.0,18.0
2022-01-08,Cleanser,IL,32,302,25.0,35.0,18.0
2022-01-09,Sunscreen,CA,43,472,35.0,45.0,25.0
2022-01-09,Sunscreen,TX,38,112,35.0,45.0,25.0
2022-01-09,Sunscreen,NY,13,277,35.0,45.0,25.0
2022-01-09,Sunscreen,FL,39,444,35.0,45.0,25.0
2022-01-09,Sunscreen,IL,13,296,35.0,45.0,25.0
2022-01-09,Moisturizer,CA,37,319,50.0,60.0,35.0
2022-01-09,Moisturizer,TX,33,335,50.0,60.0,35.0
2022-01-09,Moisturizer,NY,76,116,50.0,60.0,35.0
2022-01-09,Moisturizer,FL,25,105,50.0,60.0,35.0
2022-01-09,Moisturizer,IL,70,362,50.0,60.0,35.0
2022-01-09,Toner,CA,17,69,30.0,40.0,20.0
2022-01-09,Toner,TX,15,86,30.0,40.0,20.0
2022-01-09,Toner,NY,18,53,30.0,40.0,20.0
2022-01-09,Toner,FL,13,99,30.0,40.0,20.0
2022-01-09,Toner,IL,15,55,30.0,40.0,20.0
2022-01-09,Face Serum,CA,13,41,75.0,90.0,55.0
2022-01-09,Face Serum,TX,11,61,75.0,90.0,55.0
2022-01-09,Face Serum,NY,16,167,75.0,90.0,55.0
2022-01-09,Face Serum,FL,13,64,75.0,90.0,55.0
2022-01-09,Face Serum,IL,10,49,75.0,90.0,55.0
2022-01-09,Cleanser,CA,23,70,25.0,35.0,18.0
2022-01-09,Cleanser,TX,21,287,25.0,35.0,18.0
2022-01-09,Cleanser,NY,22,61,25.0,35.0,18.0
2022-01-09,Cleanser,FL,23,73,25.0,35.0,18.0
2022-01-09,Cleanser,IL,28,274,25.0,35.0,18.0
2022-01-10,Sunscreen,CA,26,446,35.0,45.0,25.0
2022-01-10,Sunscreen,TX,24,488,35.0,45.0,25.0
2022-01-10,Sunscreen,NY,12,265,35.0,45.0,25.0
2022-01-10,Sunscreen,FL,30,414,35.0,45.0,25.0
2022-01-10,Sunscreen,IL,9,287,35.0,45.0,25.0
2022-01-10,Moisturizer,CA,26,293,50.0,60.0,35.0
2022-01-10,Moisturizer,TX,22,313,50.0,60.0,35.0
2022-01-10,Moisturizer,NY,50,366,50.0,60.0,35.0
2022-01-10,Moisturizer,FL,18,87,50.0,60.0,35.0
2022-01-10,Moisturizer,IL,37,325,50.0,60.0,35.0
2022-01-10,Toner,CA,12,57,30.0,40.0,20.0
2022-01-10,Toner,TX,10,76,30.0,40.0,20.0
2022-01-10,Toner,NY,15,238,30.0,40.0,20.0
2022-01-10,Toner,FL,8,91,30.0,40.0,20.0
2022-01-10,Toner,IL,12,243,30.0,40.0,20.0
2022-01-10,Face Serum,CA,11,180,75.0,90.0,55.0
2022-01-10,Face Serum,TX,9,52,75.0,90.0,55.0
2022-01-10,Face Serum,NY,10,157,75.0,90.0,55.0
2022-01-10,Face Serum,FL,7,57,75.0,90.0,55.0
2022-01-10,Face Serum,IL,9,190,75.0,90.0,55.0
2022-01-10,Cleanser,CA,15,305,25.0,35.0,18.0
2022-01-10,Cleanser,TX,22,265,25.0,35.0,18.0
2022-01-10,Cleanser,NY,18,293,25.0,35.0,18.0
2022-01-10,Cleanser,FL,14,309,25.0,35.0,18.0
2022-01-10,Cleanser,IL,22,252,25.0,35.0,18.0
2022-01-11,Sunscreen,CA,37,409,35.0,45.0,25.0
2022-01-11,Sunscreen,TX,30,458,35.0,45.0,25.0
2022-01-11,Sunscreen,NY,10,255,35.0,45.0,25.0
2022-01-11,Sunscreen,FL,32,382,35.0,45.0,25.0
2022-01-11,Sunscreen,IL,11,276,35.0,45.0,25.0
2022-01-11,Moisturizer,CA,26,267,50.0,60.0,35.0
2022-01-11,Moisturizer,TX,26,287,50.0,60.0,35.0
2022-01-11,Moisturizer,NY,47,319,50.0,60.0,35.0
2022-01-11,Moisturizer,FL,17,370,50.0,60.0,35.0
2022-01-11,Moisturizer,IL,49,276,50.0,60.0,35.0
2022-01-11,Toner,CA,8,249,30.0,40.0,20.0
2022-01-11,Toner,TX,10,66,30.0,40.0,20.0
2022-01-11,Toner,NY,14,224,30.0,40.0,20.0
2022-01-11,Toner,FL,8,83,30.0,40.0,20.0
2022-01-11,Toner,IL,15,228,30.0,40.0,20.0
2022-01-11,Face Serum,CA,9,171,75.0,90.0,55.0
2022-01-11,Face Serum,TX,8,44,75.0,90.0,55.0
2022-01-11,Face Serum,NY,12,145,75.0,90.0,55.0
2022-01-11,Face Serum,FL,9,48,75.0,90.0,55.0
2022-01-11,Face Serum,IL,8,182,75.0,90.0,55.0
2022-01-11,Cleanser,CA,19,286,25.0,35.0,18.0
2022-01-11,Cleanser,TX,20,245,25.0,35.0,18.0
2022-01-11,Cleanser,NY,16,277,25.0,35.0,18.0
2022-01-11,Cleanser,FL,17,292,25.0,35.0,18.0
2022-01-11,Cleanser,IL,22,230,25.0,35.0,18.0
2022-01-12,Sunscreen,CA,30,379,35.0,45.0,25.0
2022-01-12,Sunscreen,TX,29,429,35.0,45.0,25.0
2022-01-12,Sunscreen,NY,12,243,35.0,45.0,25.0
2022-01-12,Sunscreen,FL,36,346,35.0,45.0,25.0
2022-01-12,Sunscreen,IL,11,265,35.0,45.0,25.0
2022-01-12,Moisturizer,CA,34,233,50.0,60.0,35.0
2022-01-12,Moisturizer,TX,23,264,50.0,60.0,35.0
2022-01-12,Moisturizer,NY,56,263,50.0,60.0,35.0
2022-01-12,Moisturizer,FL,15,355,50.0,60.0,35.0
2022-01-12,Moisturizer,IL,51,225,50.0,60.0,35.0
2022-01-12,Toner,CA,13,236,30.0,40.0,20.0
2022-01-12,Toner,TX,12,54,30.0,40.0,20.0
2022-01-12,Toner,NY,14,210,30.0,40.0,20.0
2022-01-12,Toner,FL,10,73,30.0,40.0,20.0
2022-01-12,Toner,IL,13,215,30.0,40.0,20.0
2022-01-12,Face Serum,CA,11,160,75.0,90.0,55.0
2022-01-12,Face Serum,TX,10,184,75.0,90.0,55.0
2022-01-12,Face Serum,NY,13,132,75.0,90.0,55.0
2022-01-12,Face Serum,FL,8,190,75.0,90.0,55.0
2022-01-12,Face Serum,IL,11,171,75.0,90.0,55.0
2022-01-12,Cleanser,CA,18,268,25.0,35.0,18.0
2022-01-12,Cleanser,TX,23,222,25.0,35.0,18.0
2022-01-12,Cleanser,NY,21,256,25.0,35.0,18.0
2022-01-12,Cleanser,FL,16,276,25.0,35.0,18.0
2022-01-12,Cleanser,IL,22,208,25.0,35.0,18.0
2022-01-13,Sunscreen,CA,36,343,35.0,45.0,25.0
2022-01-13,Sunscreen,TX,32,397,35.0,45.0,25.0
2022-01-13,Sunscreen,NY,13,230,35.0,45.0,25.0
2022-01-13,Sunscreen,FL,38,308,35.0,45.0,25.0
2022-01-13,Sunscreen,IL,12,253,35.0,45.0,25.0
2022-01-13,Moisturizer,CA,29,204,50.0,60.0,35.0
2022-01-13,Moisturizer,TX,29,235,50.0,60.0,35.0
2022-01-13,Moisturizer,NY,47,216,50.0,60.0,35.0
2022-01-13,Moisturizer,FL,20,335,50.0,60.0,35.0
2022-01-13,Moisturizer,IL,61,164,50.0,60.0,35.0
2022-01-13,Toner,CA,15,221,30.0,40.0,20.0
2022-01-13,Toner,TX,13,241,30.0,40.0,20.0
2022-01-13,Toner,NY,18,192,30.0,40.0,20.0
2022-01-13,Toner,FL,11,62,30.0,40.0,20.0
2022-01-13,Toner,IL,16,199,30.0,40.0,20.0
2022-01-13,Face Serum,CA,11,149,75.0,90.0,55.0
2022-01-13,Face Serum,TX,10,174,75.0,90.0,55.0
2022-01-13,Face Serum,NY,13,119,75.0,90.0,55.0
2022-01-13,Face Serum,FL,9,181,75.0,90.0,55.0
2022-01-13,Face Serum,IL,12,159,75.0,90.0,55.0
2022-01-13,Cleanser,CA,17,251,25.0,35.0,18.0
2022-01-13,Cleanser,TX,27,195,25.0,35.0,18.0
2022-01-13,Cleanser,NY,18,238,25.0,35.0,18.0
2022-01-13,Cleanser,FL,16,260,25.0,35.0,18.0
2022-01-13,Cleanser,IL,27,181,25.0,35.0,18.0
2022-01-14,Sunscreen,CA,38,305,35.0,45.0,25.29
2022-01-14,Sunscreen,TX,29,368,35.0,45.0,25.29
2022-01-14,Sunscreen,NY,13,217,35.0,45.0,25.29
2022-01-14,Sunscreen,FL,31,277,35.0,45.0,25.29
2022-01-14,Sunscreen,IL,13,240,35.0,45.0,25.29
2022-01-14,Moisturizer,CA,29,175,50.0,60.0,35.54
2022-01-14,Moisturizer,TX,28,207,50.0,60.0,35.54
2022-01-14,Moisturizer,NY,52,164,50.0,60.0,35.54
2022-01-14,Moisturizer,FL,20,315,50.0,60.0,35.54
2022-01-14,Moisturizer,IL,53,111,50.0,60.0,35.54
2022-01-14,Toner,CA,14,207,30.0,40.0,19.67
2022-01-14,Toner,TX,12,229,30.0,40.0,19.67
2022-01-14,Toner,NY,17,175,30.0,40.0,19.67
2022-01-14,Toner,FL,12,250,30.0,40.0,19.67
2022-01-14,Toner,IL,17,182,30.0,40.0,19.67
2022-01-14,Face Serum,CA,11,138,75.0,90.0,54.08
2022-01-14,Face Serum,TX,9,165,75.0,90.0,54.08
2022-01-14,Face Serum,NY,13,106,75.0,90.0,54.08
2022-01-14,Face Serum,FL,9,172,75.0,90.0,54.08
2022-01-14,Face Serum,IL,12,147,75.0,90.0,54.08
2022-01-14,Cleanser,CA,22,229,25.0,35.0,17.95
2022-01-14,Cleanser,TX,23,172,25.0,35.0,17.95
2022-01-14,Cleanser,NY,21,217,25.0,35.0,17.95
2022-01-14,Cleanser,FL,18,242,25.0,35.0,17.95
2022-01-14,Cleanser,IL,25,156,25.0,35.0,17.95
2022-01-15,Sunscreen,CA,43,262,35.0,41.57,25.0
2022-01-15,Sunscreen,TX,34,334,35.0,41.57,25.0
2022-01-15,Sunscreen,NY,17,200,35.0,41.57,25.0
2022-01-15,Sunscreen,FL,53,224,35.0,41.57,25.0
2022-01-15,Sunscreen,IL,13,227,35.0,41.57,25.0
2022-01-15,Moisturizer,CA,40,135,50.0,57.43,35.0
2022-01-15,Moisturizer,TX,33,174,50.0,57.43,35.0
2022-01-15,Moisturizer,NY,62,102,50.0,57.43,35.0
2022-01-15,Moisturizer,FL,25,290,50.0,57.43,35.0
2022-01-15,Moisturizer,IL,75,336,50.0,57.43,35.0
2022-01-15,Toner,CA,17,190,30.0,43.94,20.0
2022-01-15,Toner,TX,14,215,30.0,43.94,20.0
2022-01-15,Toner,NY,20,155,30.0,43.94,20.0
2022-01-15,Toner,FL,14,236,30.0,43.94,20.0
2022-01-15,Toner,IL,21,161,30.0,43.94,20.0
2022-01-15,Face Serum,CA,16,122,75.0,89.18,55.0
2022-01-15,Face Serum,TX,14,151,75.0,89.18,55.0
2022-01-15,Face Serum,NY,20,86,75.0,89.18,55.0
2022-01-15,Face Serum,FL,11,161,75.0,89.18,55.0
2022-01-15,Face Serum,IL,15,132,75.0,89.18,55.0
2022-01-15,Cleanser,CA,21,208,25.0,35.84,18.0
2022-01-15,Cleanser,TX,26,146,25.0,35.84,18.0
2022-01-15,Cleanser,NY,20,197,25.0,35.84,18.0
2022-01-15,Cleanser,FL,22,220,25.0,35.84,18.0
2022-01-15,Cleanser,IL,28,128,25.0,35.84,18.0
2022-01-16,Sunscreen,CA,39,223,35.0,45.0,25.0
2022-01-16,Sunscreen,TX,35,299,35.0,45.0,25.0
2022-01-16,Sunscreen,NY,17,183,35.0,45.0,25.0
2022-01-16,Sunscreen,FL,47,177,35.0,45.0,25.0
2022-01-16,Sunscreen,IL,12,215,35.0,45.0,25.0
2022-01-16,Moisturizer,CA,32,103,50.0,60.0,35.0
2022-01-16,Moisturizer,TX,33,141,50.0,60.0,35.0
2022-01-16,Moisturizer,NY,48,354,50.0,60.0,35.0
2022-01-16,Moisturizer,FL,28,262,50.0,60.0,35.0
2022-01-16,Moisturizer,IL,70,266,50.0,60.0,35.0
2022-01-16,Toner,CA,15,175,30.0,40.0,20.0
2022-01-16,Toner,TX,11,204,30.0,40.0,20.0
2022-01-16,Toner,NY,21,134,30.0,40.0,20.0
2022-01-16,Toner,FL,12,224,30.0,40.0,20.0
2022-01-16,Toner,IL,19,142,30.0,40.0,20.0
2022-01-16,Face Serum,CA,11,111,75.0,90.0,55.0
2022-01-16,Face Serum,TX,11,140,75.0,90.0,55.0
2022-01-16,Face Serum,NY,16,70,75.0,90.0,55.0
2022-01-16,Face Serum,FL,10,151,75.0,90.0,55.0
2022-01-16,Face Serum,IL,12,120,75.0,90.0,55.0
2022-01-16,Cleanser,CA,22,186,25.0,35.0,18.0
2022-01-16,Cleanser,TX,23,123,25.0,35.0,18.0
2022-01-16,Cleanser,NY,23,174,25.0,35.0,18.0
2022-01-16,Cleanser,FL,21,199,25.0,35.0,18.0
2022-01-16,Cleanser,IL,29,99,25.0,35.0,18.0
2022-01-17,Sunscreen,CA,31,192,35.0,45.0,25.0
2022-01-17,Sunscreen,TX,23,276,35.0,45.0,25.0
2022-01-17,Sunscreen,NY,9,174,35.0,45.0,25.0
2022-01-17,Sunscreen,FL,36,141,35.0,45.0,25.0
2022-01-17,Sunscreen,IL,10,205,35.0,45.0,25.0
2022-01-17,Moisturizer,CA,24,379,50.0,60.0,35.0
2022-01-17,Moisturizer,TX,27,114,50.0,60.0,35.0
2022-01-17,Moisturizer,NY,42,312,50.0,60.0,35.0
2022-01-17,Moisturizer,FL,19,243,50.0,60.0,35.0
2022-01-17,Moisturizer,IL,47,219,50.0,60.0,35.0
2022-01-17,Toner,CA,14,161,30.0,40.0,20.0
2022-01-17,Toner,TX,12,192,30.0,40.0,20.0
2022-01-17,Toner,NY,13,121,30.0,40.0,20.0
2022-01-17,Toner,FL,10,214,30.0,40.0,20.0
2022-01-17,Toner,IL,13,129,30.0,40.0,20.0
2022-01-17,Face Serum,CA,11,100,75.0,90.0,55.0
2022-01-17,Face Serum,TX,8,132,75.0,90.0,55.0
2022-01-17,Face Serum,NY,12,58,75.0,90.0,55.0
2022-01-17,Face Serum,FL,8,143,75.0,90.0,55.0
2022-01-17,Face Serum,IL,8,112,75.0,90.0,55.0
2022-01-17,Cleanser,CA,14,172,25.0,35.0,18.0
2022-01-17,Cleanser,TX,15,108,25.0,35.0,18.0
2022-01-17,Cleanser,NY,17,157,25.0,35.0,18.0
2022-01-17,Cleanser,FL,17,182,25.0,35.0,18.0
2022-01-17,Cleanser,IL,24,75,25.0,35.0,18.0
2022-01-18,Sunscreen,CA,31,161,35.0,45.0,25.0
2022-01-18,Sunscreen,TX,31,245,35.0,45.0,25.0
2022-01-18,Sunscreen,NY,10,164,35.0,45.0,25.0
2022-01-18,Sunscreen,FL,28,113,35.0,45.0,25.0
2022-01-18,Sunscreen,IL,10,195,35.0,45.0,25.0
2022-01-18,Moisturizer,CA,29,350,50.0,60.0,35.0
2022-01-18,Moisturizer,TX,24,90,50.0,60.0,35.0
2022-01-18,Moisturizer,NY,34,278,50.0,60.0,35.0
