Month,Product_Name,State,Forecasted_Monthly_Units,Last_Price,Safety_Stock,Reorder_Point,Forecasted_Monthly_Sales
2025-02-28,Cleanser,NY,606.1,25.0,19.2,84.1,15152.14
2025-02-28,Cleanser,TX,686.1,25.0,21.0,94.5,17151.29
2025-02-28,Face Serum,CA,357.2,75.0,12.7,50.9,26791.44
2025-02-28,Face Serum,FL,277.6,75.0,10.1,39.9,20816.42
2025-02-28,Face Serum,IL,330.5,75.0,11.7,47.1,24791.23
2025-02-28,Face Serum,NY,397.7,75.0,14.7,57.3,29824.62
2025-02-28,Face Serum,TX,297.5,75.0,11.1,43.0,22315.45
2025-02-28,Moisturizer,CA,897.3,50.0,29.5,125.7,44866.07
2025-02-28,Moisturizer,FL,597.6,50.0,19.2,83.2,29881.63
2025-02-28,Moisturizer,IL,1580.7,50.0,50.8,220.2,79032.55
2025-02-28,Moisturizer,NY,1441.5,50.0,43.9,198.3,72073.11
2025-02-28,Moisturizer,TX,816.4,50.0,25.8,113.2,40821.76
2025-02-28,Sunscreen,CA,1034.9,35.0,108.5,219.4,36221.01
2025-02-28,Sunscreen,FL,1139.4,35.0,120.0,242.1,39880.32
2025-02-28,Sunscreen,IL,322.3,35.0,37.6,72.1,11279.04
2025-02-28,Sunscreen,NY,403.6,35.0,43.5,86.8,14126.36
2025-02-28,Sunscreen,TX,922.1,35.0,97.9,196.7,32273.31
2025-02-28,Toner,CA,416.3,30.0,9.6,54.2,12487.95
2025-02-28,Toner,FL,330.2,30.0,8.2,43.6,9906.62
2025-02-28,Toner,IL,443.4,30.0,10.8,58.3,13301.89
2025-02-28,Toner,NY,479.2,30.0,11.8,63.1,14374.76
2025-02-28,Toner,TX,359.6,30.0,9.4,47.9,10788.69
2025-03-31,Cleanser,CA,607.3,25.0,17.9,76.7,15183.5
2025-03-31,Cleanser,FL,600.7,25.0,17.7,75.8,15017.31
2025-03-31,Cleanser,IL,786.6,25.0,23.4,99.5,19664.99
2025-03-31,Cleanser,NY,681.7,25.0,19.2,85.1,17041.83
2025-03-31,Cleanser,TX,737.5,25.0,21.0,92.4,18438.15
2025-03-31,Face Serum,CA,387.4,75.0,12.7,50.2,29055.55
2025-03-31,Face Serum,FL,297.7,75.0,10.1,38.9,22325.5
2025-03-31,Face Serum,IL,362.5,75.0,11.7,46.8,27185.0
2025-03-31,Face Serum,NY,429.8,75.0,14.7,56.3,32236.34
2025-03-31,Face Serum,TX,333.5,75.0,11.1,43.4,25011.06
2025-03-31,Moisturizer,CA,977.2,50.0,29.5,124.1,48862.2
2025-03-31,Moisturizer,FL,652.5,50.0,19.2,82.4,32627.21
2025-03-31,Moisturizer,IL,1742.8,50.0,50.8,219.5,87141.16
2025-03-31,Moisturizer,NY,1522.6,50.0,43.9,191.2,76128.12
2025-03-31,Moisturizer,TX,891.6,50.0,25.8,112.0,44579.71
2025-03-31,Sunscreen,CA,1141.1,35.0,108.5,218.9,39936.92
2025-03-31,Sunscreen,FL,1222.8,35.0,120.0,238.4,42797.4
2025-03-31,Sunscreen,IL,359.6,35.0,37.6,72.4,12585.94
2025-03-31,Sunscreen,NY,437.9,35.0,43.5,85.9,15326.65
2025-03-31,Sunscreen,TX,1030.6,35.0,97.9,197.6,36069.32
2025-03-31,Toner,CA,444.0,30.0,9.6,52.5,13318.96
2025-03-31,Toner,FL,362.2,30.0,8.2,43.3,10867.24
2025-03-31,Toner,IL,491.6,30.0,10.8,58.4,14748.09
2025-03-31,Toner,NY,521.8,30.0,11.8,62.3,15652.77
2025-03-31,Toner,TX,392.0,30.0,9.4,47.3,11758.6
2025-04-30,Cleanser,CA,571.7,25.0,17.9,75.1,14293.26
2025-04-30,Cleanser,FL,574.1,25.0,17.7,75.1,14353.28
2025-04-30,Cleanser,IL,747.6,25.0,23.4,98.2,18689.25
2025-04-30,Cleanser,NY,637.6,25.0,19.2,82.9,15939.93
2025-04-30,Cleanser,TX,703.2,25.0,21.0,91.3,17579.51
2025-04-30,Face Serum,CA,378.0,75.0,12.7,50.5,28346.4
2025-04-30,Face Serum,FL,285.2,75.0,10.1,38.6,21391.79
2025-04-30,Face Serum,IL,350.9,75.0,11.7,46.8,26319.96
2025-04-30,Face Serum,NY,421.8,75.0,14.7,56.9,31635.06
2025-04-30,Face Serum,TX,319.0,75.0,11.1,43.0,23921.44
2025-04-30,Moisturizer,CA,618.5,50.0,29.5,91.4,30924.33
2025-04-30,Moisturizer,FL,412.1,50.0,19.2,60.4,20606.75
2025-04-30,Moisturizer,IL,1124.6,50.0,50.8,163.3,56228.23
2025-04-30,Moisturizer,NY,1013.3,50.0,43.9,145.2,50664.12
2025-04-30,Moisturizer,TX,564.7,50.0,25.8,82.2,28235.22
2025-04-30,Sunscreen,CA,1794.4,35.0,108.5,287.9,62804.4
2025-04-30,Sunscreen,FL,1985.0,35.0,120.0,318.5,69475.58
2025-04-30,Sunscreen,IL,570.5,35.0,37.6,94.6,19968.62
2025-04-30,Sunscreen,NY,705.1,35.0,43.5,114.0,24677.69
2025-04-30,Sunscreen,TX,1628.2,35.0,97.9,260.7,56986.51
2025-04-30,Toner,CA,421.6,30.0,9.6,51.7,12646.85
2025-04-30,Toner,FL,351.8,30.0,8.2,43.4,10553.34
2025-04-30,Toner,IL,482.4,30.0,10.8,59.0,14473.07
2025-04-30,Toner,NY,505.1,30.0,11.8,62.3,15151.86
2025-04-30,Toner,TX,373.0,30.0,9.4,46.7,11191.25
2025-05-31,Cleanser,CA,647.1,25.0,17.9,80.5,16177.59
2025-05-31,Cleanser,FL,650.9,25.0,17.7,80.7,16272.73
2025-05-31,Cleanser,IL,882.9,25.0,23.4,108.9,22072.5
2025-05-31,Cleanser,NY,719.3,25.0,19.2,88.8,17981.48
2025-05-31,Cleanser,TX,811.0,25.0,21.0,99.5,20274.86
2025-05-31,Face Serum,CA,417.6,75.0,12.7,53.1,31318.05
2025-05-31,Face Serum,FL,323.5,75.0,10.1,41.4,24261.98
2025-05-31,Face Serum,IL,399.0,75.0,11.7,50.3,29924.0
2025-05-31,Face Serum,NY,469.8,75.0,14.7,60.2,35238.63
2025-05-31,Face Serum,TX,364.6,75.0,11.1,46.4,27343.17
2025-05-31,Moisturizer,CA,709.0,50.0,29.5,98.2,35452.29
2025-05-31,Moisturizer,FL,469.3,50.0,19.2,64.6,23466.43
2025-05-31,Moisturizer,IL,1250.7,50.0,50.8,171.9,62534.05
2025-05-31,Moisturizer,NY,1124.9,50.0,43.9,152.8,56243.58
2025-05-31,Moisturizer,TX,645.2,50.0,25.8,88.2,32261.1
2025-05-31,Sunscreen,CA,3617.6,35.0,108.5,458.6,126614.41
2025-05-31,Sunscreen,FL,3909.6,35.0,120.0,498.4,136835.96
2025-05-31,Sunscreen,IL,1201.4,35.0,37.6,153.8,42050.71
2025-05-31,Sunscreen,NY,1397.8,35.0,43.5,178.8,48921.34
2025-05-31,Sunscreen,TX,3174.1,35.0,97.9,405.1,111093.18
2025-05-31,Toner,CA,478.0,30.0,9.6,55.8,14340.12
2025-05-31,Toner,FL,390.8,30.0,8.2,46.1,11724.1
2025-05-31,Toner,IL,534.5,30.0,10.8,62.5,16034.85
2025-05-31,Toner,NY,562.0,30.0,11.8,66.2,16860.92
2025-05-31,Toner,TX,427.1,30.0,9.4,50.7,12811.53
2025-06-30,Cleanser,CA,584.0,25.0,17.9,76.3,14600.71
2025-06-30,Cleanser,FL,583.1,25.0,17.7,76.0,14578.64
2025-06-30,Cleanser,IL,770.7,25.0,23.4,100.5,19268.6
2025-06-30,Cleanser,NY,646.7,25.0,19.2,83.8,16166.89
2025-06-30,Cleanser,TX,721.4,25.0,21.0,93.2,18035.53
2025-06-30,Face Serum,CA,374.2,75.0,12.7,50.1,28065.65
2025-06-30,Face Serum,FL,293.4,75.0,10.1,39.5,22008.67
2025-06-30,Face Serum,IL,354.0,75.0,11.7,47.1,26548.49
2025-06-30,Face Serum,NY,416.9,75.0,14.7,56.4,31266.7
2025-06-30,Face Serum,TX,313.8,75.0,11.1,42.5,23533.45
2025-06-30,Moisturizer,CA,416.4,50.0,29.5,71.2,20819.1
2025-06-30,Moisturizer,FL,279.9,50.0,19.2,47.2,13994.9
2025-06-30,Moisturizer,IL,756.8,50.0,50.8,126.5,37838.1
2025-06-30,Moisturizer,NY,692.8,50.0,43.9,113.2,34641.52
2025-06-30,Moisturizer,TX,398.0,50.0,25.8,65.6,19898.24
2025-06-30,Sunscreen,CA,3231.4,35.0,108.5,431.6,113098.48
2025-06-30,Sunscreen,FL,3588.9,35.0,120.0,478.9,125610.22
2025-06-30,Sunscreen,IL,1049.3,35.0,37.6,142.5,36725.62
2025-06-30,Sunscreen,NY,1252.4,35.0,43.5,168.8,43834.8
2025-06-30,Sunscreen,TX,2887.5,35.0,97.9,386.7,101062.78
2025-06-30,Toner,CA,428.9,30.0,9.6,52.4,12867.49
2025-06-30,Toner,FL,356.3,30.0,8.2,43.9,10688.11
2025-06-30,Toner,IL,469.2,30.0,10.8,57.7,14075.29
2025-06-30,Toner,NY,506.9,30.0,11.8,62.5,15207.41
2025-06-30,Toner,TX,372.3,30.0,9.4,46.6,11167.76
2025-07-31,Cleanser,CA,681.9,25.0,17.9,83.9,17047.99
2025-07-31,Cleanser,FL,658.4,25.0,17.7,81.4,16460.28
2025-07-31,Cleanser,IL,875.6,25.0,23.4,108.2,21890.57
2025-07-31,Cleanser,NY,744.8,25.0,19.2,91.3,18619.65
2025-07-31,Cleanser,TX,844.8,25.0,21.0,102.8,21118.9
2025-07-31,Face Serum,CA,439.4,75.0,12.7,55.2,32956.98
2025-07-31,Face Serum,FL,338.9,75.0,10.1,42.9,25420.01
2025-07-31,Face Serum,IL,408.5,75.0,11.7,51.3,30635.99
2025-07-31,Face Serum,NY,484.3,75.0,14.7,61.6,36323.37
2025-07-31,Face Serum,TX,369.8,75.0,11.1,46.9,27731.7
2025-07-31,Moisturizer,CA,495.3,50.0,29.5,77.5,24763.1
2025-07-31,Moisturizer,FL,337.9,50.0,19.2,51.9,16892.53
2025-07-31,Moisturizer,IL,899.6,50.0,50.8,137.9,44980.97
2025-07-31,Moisturizer,NY,811.8,50.0,43.9,122.5,40591.03
2025-07-31,Moisturizer,TX,468.2,50.0,25.8,71.1,23410.12
2025-07-31,Sunscreen,CA,3515.0,35.0,108.5,448.6,123025.72
2025-07-31,Sunscreen,FL,4069.4,35.0,120.0,513.8,142428.64
2025-07-31,Sunscreen,IL,1213.6,35.0,37.6,155.0,42476.35
2025-07-31,Sunscreen,NY,1452.0,35.0,43.5,184.0,50821.15
2025-07-31,Sunscreen,TX,3286.7,35.0,97.9,416.0,115034.13
2025-07-31,Toner,CA,501.4,30.0,9.6,58.1,15041.8
2025-07-31,Toner,FL,397.1,30.0,8.2,46.7,11911.89
2025-07-31,Toner,IL,556.3,30.0,10.8,64.6,16688.8
2025-07-31,Toner,NY,604.9,30.0,11.8,70.3,18146.94
2025-07-31,Toner,TX,437.2,30.0,9.4,51.7,13116.42
2025-08-31,Cleanser,CA,623.5,25.0,17.9,78.2,15586.44
2025-08-31,Cleanser,FL,602.2,25.0,17.7,76.0,15055.13
2025-08-31,Cleanser,IL,794.5,25.0,23.4,100.3,19862.52
2025-08-31,Cleanser,NY,686.8,25.0,19.2,85.6,17169.08
2025-08-31,Cleanser,TX,775.9,25.0,21.0,96.1,19397.02
2025-08-31,Face Serum,CA,395.0,75.0,12.7,50.9,29622.54
2025-08-31,Face Serum,FL,311.8,75.0,10.1,40.3,23382.88
2025-08-31,Face Serum,IL,362.9,75.0,11.7,46.8,27215.74
2025-08-31,Face Serum,NY,421.8,75.0,14.7,55.6,31632.73
2025-08-31,Face Serum,TX,332.6,75.0,11.1,43.3,24945.83
2025-08-31,Moisturizer,CA,450.4,50.0,29.5,73.1,22522.37
2025-08-31,Moisturizer,FL,300.4,50.0,19.2,48.3,15017.58
2025-08-31,Moisturizer,IL,816.1,50.0,50.8,129.8,40802.76
2025-08-31,Moisturizer,NY,736.1,50.0,43.9,115.1,36804.51
2025-08-31,Moisturizer,TX,422.7,50.0,25.8,66.7,21134.05
2025-08-31,Sunscreen,CA,3317.9,35.0,108.5,429.6,116125.08
2025-08-31,Sunscreen,FL,3591.6,35.0,120.0,467.6,125706.14
2025-08-31,Sunscreen,IL,1100.5,35.0,37.6,144.1,38518.6
2025-08-31,Sunscreen,NY,1306.2,35.0,43.5,169.9,45717.21
2025-08-31,Sunscreen,TX,2950.2,35.0,97.9,383.4,103256.44
2025-08-31,Toner,CA,469.5,30.0,9.6,55.0,14084.94
2025-08-31,Toner,FL,368.3,30.0,8.2,43.9,11048.35
2025-08-31,Toner,IL,506.2,30.0,10.8,59.8,15185.03
2025-08-31,Toner,NY,541.4,30.0,11.8,64.2,16243.11
2025-08-31,Toner,TX,388.8,30.0,9.4,47.0,11664.97
2025-09-30,Cleanser,CA,603.2,25.0,17.9,78.2,15079.69
2025-09-30,Cleanser,FL,601.1,25.0,17.7,77.8,15028.53
2025-09-30,Cleanser,IL,796.7,25.0,23.4,103.1,19916.98
2025-09-30,Cleanser,NY,685.3,25.0,19.2,87.7,17133.57
2025-09-30,Cleanser,TX,766.7,25.0,21.0,97.7,19167.55
2025-09-30,Face Serum,CA,394.3,75.0,12.7,52.1,29571.14
2025-09-30,Face Serum,FL,298.8,75.0,10.1,40.0,22407.75
2025-09-30,Face Serum,IL,365.3,75.0,11.7,48.3,27395.54
2025-09-30,Face Serum,NY,427.3,75.0,14.7,57.5,32047.19
2025-09-30,Face Serum,TX,339.1,75.0,11.1,45.0,25433.43
2025-09-30,Moisturizer,CA,641.7,50.0,29.5,93.7,32085.49
2025-09-30,Moisturizer,FL,426.4,50.0,19.2,61.9,21322.43
2025-09-30,Moisturizer,IL,1145.1,50.0,50.8,165.3,57253.07
2025-09-30,Moisturizer,NY,1046.6,50.0,43.9,148.6,52327.73
2025-09-30,Moisturizer,TX,607.4,50.0,25.8,86.5,30368.22
2025-09-30,Sunscreen,CA,3317.3,35.0,108.5,440.2,116106.36
2025-09-30,Sunscreen,FL,3603.4,35.0,120.0,480.4,126119.9
2025-09-30,Sunscreen,IL,1096.3,35.0,37.6,147.2,38370.67
2025-09-30,Sunscreen,NY,1305.7,35.0,43.5,174.1,45700.33
2025-09-30,Sunscreen,TX,3010.3,35.0,97.9,398.9,105358.99
2025-09-30,Toner,CA,448.6,30.0,9.6,54.4,13457.12
2025-09-30,Toner,FL,364.3,30.0,8.2,44.7,10929.97
2025-09-30,Toner,IL,494.2,30.0,10.8,60.2,14826.2
2025-09-30,Toner,NY,537.7,30.0,11.8,65.5,16131.98
2025-09-30,Toner,TX,384.2,30.0,9.4,47.8,11524.97
2025-10-31,Cleanser,CA,777.7,25.0,17.9,93.2,19443.41
2025-10-31,Cleanser,FL,757.9,25.0,17.7,91.1,18947.17
2025-10-31,Cleanser,IL,1018.7,25.0,23.4,122.0,25466.48
2025-10-31,Cleanser,NY,850.0,25.0,19.2,101.4,21250.63
2025-10-31,Cleanser,TX,946.8,25.0,21.0,112.6,23670.13
2025-10-31,Face Serum,CA,547.5,75.0,12.7,65.6,41060.46
2025-10-31,Face Serum,FL,425.7,75.0,10.1,51.3,31926.88
2025-10-31,Face Serum,IL,510.9,75.0,11.7,61.2,38315.07
2025-10-31,Face Serum,NY,597.5,75.0,14.7,72.6,44814.29
2025-10-31,Face Serum,TX,471.8,75.0,11.1,56.8,35382.27
2025-10-31,Moisturizer,CA,942.8,50.0,29.5,120.8,47142.38
2025-10-31,Moisturizer,FL,644.9,50.0,19.2,81.6,32247.37
2025-10-31,Moisturizer,IL,1688.0,50.0,50.8,214.2,84398.93
2025-10-31,Moisturizer,NY,1518.3,50.0,43.9,190.8,75913.68
2025-10-31,Moisturizer,TX,867.7,50.0,25.8,109.7,43386.61
2025-10-31,Sunscreen,CA,1855.8,35.0,108.5,288.1,64952.64
2025-10-31,Sunscreen,FL,2082.7,35.0,120.0,321.6,72895.42
2025-10-31,Sunscreen,IL,597.2,35.0,37.6,95.4,20902.56
2025-10-31,Sunscreen,NY,721.8,35.0,43.5,113.4,25262.55
2025-10-31,Sunscreen,TX,1670.0,35.0,97.9,259.5,58449.46
2025-10-31,Toner,CA,452.4,30.0,9.6,53.3,13571.19
2025-10-31,Toner,FL,364.8,30.0,8.2,43.5,10944.74
2025-10-31,Toner,IL,499.4,30.0,10.8,59.1,14980.55
2025-10-31,Toner,NY,527.8,30.0,11.8,62.8,15833.46
2025-10-31,Toner,TX,385.6,30.0,9.4,46.7,11567.38
2025-11-30,Cleanser,CA,922.4,25.0,17.9,110.1,23058.87
2025-11-30,Cleanser,FL,918.6,25.0,17.7,109.6,22965.99
2025-11-30,Cleanser,IL,1202.3,25.0,23.4,143.7,30058.31
2025-11-30,Cleanser,NY,1007.9,25.0,19.2,120.0,25197.98
2025-11-30,Cleanser,TX,1144.8,25.0,21.0,135.5,28618.93
2025-11-30,Face Serum,CA,630.1,75.0,12.7,75.7,47259.47
2025-11-30,Face Serum,FL,497.9,75.0,10.1,59.9,37341.99
2025-11-30,Face Serum,IL,595.2,75.0,11.7,71.2,44639.89
2025-11-30,Face Serum,NY,715.2,75.0,14.7,86.3,53641.78
2025-11-30,Face Serum,TX,541.2,75.0,11.1,65.3,40593.01
2025-11-30,Moisturizer,CA,1182.2,50.0,29.5,147.8,59111.08
2025-11-30,Moisturizer,FL,765.8,50.0,19.2,95.8,38289.58
2025-11-30,Moisturizer,IL,2044.3,50.0,50.8,255.3,102213.93
2025-11-30,Moisturizer,NY,1764.4,50.0,43.9,220.3,88222.3
2025-11-30,Moisturizer,TX,1068.8,50.0,25.8,132.6,53441.0
2025-11-30,Sunscreen,CA,1302.0,35.0,108.5,238.7,45568.34
2025-11-30,Sunscreen,FL,1452.6,35.0,120.0,265.3,50841.86
2025-11-30,Sunscreen,IL,414.3,35.0,37.6,79.0,14499.16
2025-11-30,Sunscreen,NY,525.4,35.0,43.5,96.1,18389.85
2025-11-30,Sunscreen,TX,1186.8,35.0,97.9,216.6,41537.69
2025-11-30,Toner,CA,517.5,30.0,9.6,61.3,15526.07
2025-11-30,Toner,FL,417.9,30.0,8.2,50.0,12537.88
2025-11-30,Toner,IL,575.6,30.0,10.8,68.3,17266.87
2025-11-30,Toner,NY,621.3,30.0,11.8,73.9,18639.82
2025-11-30,Toner,TX,456.9,30.0,9.4,55.1,13707.9
2025-12-31,Cleanser,CA,850.6,25.0,17.9,100.2,21266.15
2025-12-31,Cleanser,FL,821.9,25.0,17.7,97.3,20548.06
2025-12-31,Cleanser,IL,1078.4,25.0,23.4,127.8,26960.69
2025-12-31,Cleanser,NY,908.9,25.0,19.2,107.1,22722.38
2025-12-31,Cleanser,TX,1025.0,25.0,21.0,120.2,25625.24
2025-12-31,Face Serum,CA,576.8,75.0,12.7,68.5,43260.82
2025-12-31,Face Serum,FL,447.5,75.0,10.1,53.4,33565.74
2025-12-31,Face Serum,IL,536.6,75.0,11.7,63.7,40243.82
2025-12-31,Face Serum,NY,626.9,75.0,14.7,75.4,47016.98
2025-12-31,Face Serum,TX,502.2,75.0,11.1,59.7,37667.81
2025-12-31,Moisturizer,CA,1052.3,50.0,29.5,131.4,52614.55
2025-12-31,Moisturizer,FL,693.5,50.0,19.2,86.3,34675.25
2025-12-31,Moisturizer,IL,1845.9,50.0,50.8,229.5,92293.26
2025-12-31,Moisturizer,NY,1652.8,50.0,43.9,203.8,82641.28
2025-12-31,Moisturizer,TX,931.6,50.0,25.8,115.9,46578.33
2025-12-31,Sunscreen,CA,1206.5,35.0,108.5,225.2,42228.8
2025-12-31,Sunscreen,FL,1313.0,35.0,120.0,247.1,45955.06
2025-12-31,Sunscreen,IL,373.8,35.0,37.6,73.7,13083.13
2025-12-31,Sunscreen,NY,484.0,35.0,43.5,90.4,16941.45
2025-12-31,Sunscreen,TX,1078.6,35.0,97.9,202.3,37752.2
2025-12-31,Toner,CA,470.2,30.0,9.6,55.1,14105.78
2025-12-31,Toner,FL,384.8,30.0,8.2,45.5,11543.92
2025-12-31,Toner,IL,525.6,30.0,10.8,61.7,15768.39
2025-12-31,Toner,NY,560.0,30.0,11.8,66.0,16799.19
2025-12-31,Toner,TX,412.9,30.0,9.4,49.4,12385.86
